#datatype measurement,dateTime:RFC3339,float,float,double
speed,msgTime,latitude,longitude,gpsSpeed
speed,2021-08-18T17:09:23Z,41.20635,29.07366,1.7
speed,2021-08-18T17:09:19Z,41.20633,29.07356,7.5
speed,2021-08-18T17:09:15Z,41.20632,29.07339,5.1
speed,2021-08-18T17:09:11Z,41.20636,29.07333,1.2
speed,2021-08-18T17:09:06Z,41.20635,29.0733,0.3
speed,2021-08-18T17:09:04Z,41.20635,29.07332,2.3
speed,2021-08-18T17:09:02Z,41.20638,29.07339,11.2
speed,2021-08-18T17:08:58Z,41.20653,29.07364,13.2
speed,2021-08-18T17:08:54Z,41.20674,29.07383,14.3
speed,2021-08-18T17:08:50Z,41.20697,29.07399,13.7
speed,2021-08-18T17:08:46Z,41.20722,29.07422,13.1
speed,2021-08-18T17:08:41Z,41.20742,29.07441,13.9
speed,2021-08-18T17:08:37Z,41.20764,29.0746,14.8
speed,2021-08-18T17:08:34Z,41.20793,29.07469,15
speed,2021-08-18T17:08:33Z,41.20793,29.07469,15.2
speed,2021-08-18T17:08:28Z,41.20825,29.07484,11.7
speed,2021-08-18T17:08:24Z,41.20841,29.07497,8.8
speed,2021-08-18T17:08:20Z,41.20843,29.07518,9.9
speed,2021-08-18T17:08:16Z,41.20841,29.07544,10.5
speed,2021-08-18T17:08:12Z,41.20836,29.07578,10.7
speed,2021-08-18T17:08:07Z,41.20823,29.07599,11.6
speed,2021-08-18T17:08:03Z,41.208,29.0761,14.3
speed,2021-08-18T17:07:59Z,41.20772,29.07623,17.2
speed,2021-08-18T17:07:55Z,41.20744,29.07626,18.5
speed,2021-08-18T17:07:51Z,41.20704,29.0762,24.8
speed,2021-08-18T17:07:47Z,41.20648,29.07587,27.5
speed,2021-08-18T17:07:42Z,41.20607,29.07547,24.1
speed,2021-08-18T17:07:38Z,41.20573,29.07507,25.4
speed,2021-08-18T17:07:34Z,41.20542,29.0746,25.6
speed,2021-08-18T17:07:32Z,41.20522,29.07442,25.5
speed,2021-08-18T17:07:30Z,41.20502,29.07426,24.8
speed,2021-08-18T17:07:26Z,41.2047,29.07378,29.2
